term1
"[18, 71, '85']","[16, 24, '30']","[17, 30, '36']","[19, 117, '131']",[0]
"[16, 6, '7']","[17, 52, '62']","[18, 67, '81']","[19, 98, '112']",[0]
"[18, 81, '95']","[15, 131, '145']","[16, 9, '15']","[19, 118, '132']",[0]
term2
"[16, 11, '17']","[17, 54, '64']","[17, 44, '54']","[19, 122, '136']",[2]
"[15, 127, '141']","[17, 53, '63']","[17, 25, '31']","[19, 112, '126']",[2]
"[17, 48, '58']","[16, 0, '1']","[17, 47, '57']","[19, 94, '108']",[2]
"[15, 129, '143']","[18, 73, '87']","[19, 113, '127']","[19, 115, '129']",[2]
"[19, 114, '128']","[16, 23, '29']","[17, 31, '37']","[17, 50, '60']",[2]
"[17, 32, '38']","[16, 6, '7']","[17, 38, '44']","[19, 124, '138']",[2]
"[19, 110, '124']","[15, 132, '146']","[18, 81, '95']","[19, 117, '131']",[2]
"[17, 134, 'EC']","[15, 85, '99']","[17, 46, '56']","[19, 119, '133']",[2]
"[17, 39, '45']","[18, 77, '91']","[19, 99, '113']","[19, 92, '106']",[2]
"[15, 86, '100']","[16, 13, '19']","[18, 59, '73']","[19, 108, '122']",[0]
"[16, 9, '15']","[15, 87, '101']","[17, 30, '36']","[19, 96, '110']",[0]
"[16, 24, '30']","[17, 57, '67']","[18, 58, '68']","[19, 90, '104']",[0]
"[18, 78, '92']","[16, 15, '21']","[17, 29, '35']","[19, 118, '132']",[0]
"[18, 70, '84']","[16, 5, '6']","[17, 41, '47']","[19, 125, '139']",[0]
"[19, 102, '116']","[16, 1, '2']","[17, 26, '32']","[18, 66, '80']",[0]
"[17, 34, '40']","[16, 4, '5']","[18, 64, '78']","[19, 107, '121']",[0]
"[18, 67, '81']","[15, 130, '144']","[17, 42, '48']","[19, 105, '119']",[0]
"[19, 95, '109']","[16, 3, '4']","[17, 56, '66']","[18, 84, '98']",[0]
"[16, 18, '24']","[17, 135, 'EC']","[18, 60, '74']","[19, 93, '107']",[0]
"[16, 14, '20']","[17, 33, '39']","[18, 69, '83']","[19, 101, '115']",[0]
"[18, 62, '76']","[16, 22, '28']","[17, 133, 'EC']","[19, 100, '114']",[0]
"[19, 111, '125']","[16, 16, '22']","[17, 43, '49']","[18, 80, '94']",[0]
"[15, 128, '142']","[16, 8, '9']","[18, 83, '97']","[19, 91, '105']",[0]
"[19, 116, '130']","[16, 12, '18']","[17, 52, '62']","[18, 61, '75']",[0]
"[19, 109, '123']","[16, 2, '3']","[17, 37, '43']","[18, 79, '93']",[0]
"[18, 74, '88']","[16, 20, '26']","[17, 55, '65']","[19, 97, '111']",[0]
"[17, 27, '33']","[16, 21, '27']","[18, 82, '96']","[19, 104, '118']",[0]
"[19, 98, '112']","[16, 7, '8']","[17, 45, '55']","[18, 71, '85']",[0]
"[16, 10, '16']","[17, 51, '61']","[18, 72, '86']","[19, 106, '120']",[0]
